GRAHAM+MERGESORT,GRAHAM+INSERTIONSORT,GRAHAM+BUCKETSORT,JARVIS
1.987e-05,6.047e-05,3.251e-05,1.566e-05
4.073e-05,0.00038692,4.376e-05,4.824e-05
9.875e-05,0.00070632,4.416e-05,7.616e-05
0.00013518,0.00168254,0.00011169,0.00013909
0.00015646,0.00250923,0.00048809,0.00018064
0.00010733,0.00194716,0.00013146,0.00017224
0.00016845,0.00412779,0.00047248,0.00018524
0.00018477,0.0044594,0.00013226,0.00023057
0.00041439,0.00610443,0.00093631,0.00033522
0.0002124,0.00736408,0.00050343,0.000317668.328e-05,0.00088658,6.141e-05,9.629e-05
6.368e-05,0.00069164,4.254e-05,8.703e-05
4.81e-05,0.00056391,3.633e-05,7.433e-05
5.582e-05,0.0005661,4.131e-05,7.607e-05
6.062e-05,0.00065887,4.426e-05,6.782e-05
5.659e-05,0.00057619,4.115e-05,6.687e-05
6.323e-05,0.00060374,5.065e-05,9.743e-05
5.537e-05,0.0005504,4.801e-05,8.435e-05
7.58e-05,0.0008015,0.00012956,8.803e-05
4.7e-05,0.00057744,3.348e-05,5.39e-05
6.262e-05,0.00060171,3.797e-05,6.28e-05
4.86e-05,0.00049317,5.173e-05,5.448e-05
5.088e-05,0.00051977,4.779e-05,5.44e-05
4.973e-05,0.00057259,4.931e-05,6.421e-05
5.107e-05,0.00051741,3.921e-05,5.817e-05
4.224e-05,0.00060931,3.348e-05,6.288e-05
5.508e-05,0.00054835,3.374e-05,5.407e-05
